taxpayer_id,C++,Go,Python
H000001-YBHXYV,-10439,-65823,-65823
H000002-1U9LHN,734955,1055706,1055706
H000003-4MGF1E,0,0,0
H000004-U6O7EX,-273842,-223102,-223102
H000005-V56CP1,8818,8818,8818
H000006-IBEPVM,432010,481475,481475
H000007-B90R6I,7988,7988,7988
H000008-ML5FN9,-773080,-770468,-770468
H000009-T2DY54,0,1387039,1387039
H000010-UDWKUX,6742,6742,6742
H000011-YY72TR,-25867,-111305,-111305
H000012-Z7PW98,4125939,3988649,3988649
H000013-AM18NI,1484628,1843687,1843687
H000014-ZHFUTP,-18011,-16674,-16674
H000015-3SCUHT,-92846,-336311,-336311
H000016-J6H0P8,-229905,-231069,-231069
H000017-0T4XY5,2660332,2172602,2172602
H000018-JS0LA7,-259824,-707917,-707917
H000019-9Z66CY,-106585,-165433,-165433
H000020-9EPVF0,17964,17964,17964
H000021-ZI2UYZ,1401572,2748622,2748622
H000022-974OY6,-448805,-377224,-377224
H000023-J1Y1C1,-79207,575337,575337
H000024-PAEWC3,0,0,0
H000025-OY65GM,6086632,5769539,5769539
H000026-NCPE8D,2638608,2808214,2808214
H000027-NLMGO5,-97505,-344236,-344236
H000028-AMOUKH,28653,28653,28653
H000029-DLH00J,1432905,1300587,1300587
H000030-QR3IFG,-507439,-435363,-435363
H000031-6YAP08,2612748,2416717,2416717
H000032-THWVB0,354,354,354
H000033-5NU5NY,1995477,2884918,2884918
H000034-JQ4D1H,0,0,0
H000035-XSLSK3,2015012,2714527,2714527
H000036-M2L986,11997,11997,11997
H000037-5EQQ7Q,-70096,-326594,-326594
H000038-EQMK1M,1926347,1901311,1901311
H000039-VKM3JV,140825,-86068,-86068
H000040-E65PV4,889896,1165511,1165511
H000041-1I89W8,0,0,0
H000042-UB30K1,1575319,1624541,1624541
H000043-PARA8J,-443937,-1616411,-1616411
H000044-ZSJGEZ,0,0,0
H000045-3Y9YKD,0,361758,361758
H000046-HUIM7I,0,0,0
H000047-C8D1CS,4350309,4238221,4238221
H000048-6TVQPO,-278341,-260024,-260024
H000049-RZGP4X,1395869,4226500,4226500
H000050-LB818R,5102467,6578100,6578100
H000051-28IWJ3,-200398,-1974905,-1977806
H000052-J7F70V,4642202,5989382,5989382
H000053-30A8HF,-502089,-501574,-501574
H000054-PBLX8U,2241922,66050,66050
H000055-QHF2KC,4012,4012,4012
H000056-LD06HH,2972,2972,2972
H000057-4LI60D,4983471,3939421,3939421
H000058-QYXYFU,4313561,3978985,3978985
H000059-7E1IV4,4603608,4593181,4593181
H000060-97AXKR,-524,46440,46440
H000061-2TK2M3,4128701,4086521,4086521
H000062-OX3OMF,-398894,-407948,-407948
H000063-0FGMQF,7358945,7495805,7495805
H000064-3BWY4K,-231334,-75302,-75302
H000065-36Q2OT,2242055,1966003,1966003
H000066-L0I9LU,-127288,-346943,-346943
H000067-BECRP0,235918,0,0
H000068-F98W22,-31498,-269043,-269043
H000069-A4YM56,-761107,-650332,-650332
H000070-81D1SY,2124791,2113232,2113232
H000071-JJ8OIS,427640,421445,421445
H000072-O13F02,-112180,-426669,-426669
H000073-8ZY82S,-516233,-489229,-489229
H000074-4PU8S7,1747359,2772221,2772221
H000075-SREBH2,5809230,7482958,7482958
H000076-81IY5P,1966710,1969100,1969100
H000077-0E2AXY,2727528,2734963,2734963
H000078-0NH32G,5272611,6983141,6983141
H000079-K14HHD,6025417,6893458,6893458
H000080-2FNT2V,628,628,628
H000081-KTQRO4,14590183,16937480,16937480
H000082-VIDX4N,-175780,-872530,-872530
H000083-K11YMF,3554595,2320462,2320462
H000084-MRE3G7,-141581,-281308,-281308
H000085-E94MEG,195635,-102230,-102230
H000086-8V5U50,0,0,0
H000087-VF2JSB,905821,882132,882132
H000088-97ZH8H,73263,4012,4012
H000089-PPBGR8,-81295,-40649,-40649
H000090-TQ53E5,6553,6553,6553
H000091-NRCV9K,11515,11515,11515
H000092-V4WB1G,7502396,7655267,7655267
H000093-44BIOF,-450534,-833355,-833355
H000094-9MM8A1,-578519,-1358761,-1358761
H000095-B3M1AU,3790875,5296485,5296485
H000096-KSZQSD,-466703,-1656788,-1656788
H000097-7XNWP7,3997,3997,3997
H000098-YDJ3D7,0,0,0
H000099-R67EKG,0,0,0
H000100-7SIBG4,2537431,2961078,2961078
H000101-W5ZUZC,-237071,-236656,-236656
H000102-NQZNRY,0,0,0
H000103-ACNP42,0,0,0
H000104-1YGP85,0,0,0
H000105-KCG6F5,1471582,1195923,1195923
H000106-2OFIIA,3024677,3116564,3116564
H000107-2538DF,294814,283979,283979
H000108-HIPI4L,5065987,5051260,5051260
H000109-C6VLZW,1875278,1727563,1727563
H000110-HQA8Z1,-422059,-1444314,-1444314
H000111-EU3TG8,-33681,-33089,-33089
H000112-GACMYH,1658446,2008924,2008924
H000113-JPFMHU,1618856,1630942,1630942
H000114-5FBW7V,0,88773,88773
H000115-UW4FR3,-114550,-108724,-108724
H000116-8PLSG9,0,0,0
H000117-BQM3FL,-76963,-4393,-4393
H000118-NOO1OO,2997123,2847379,2847379
H000119-RJFUBB,-1144192,-4009744,-4009744
H000120-KUD2O2,3841950,3106723,3106723
H000121-CKCK6D,3883881,5952289,5952289
H000122-IRROKP,12498,12498,12498
H000123-X5YB2J,756328,1001779,1001779
H000124-29F19D,745738,451686,451686
H000125-8GNL0W,-518895,-493868,-493868
H000126-XBZ7BG,3777767,3502307,3502307
H000127-7CNW94,0,0,0
H000128-U0KF3A,1612667,1076403,1076403
