taxpayer_id,out_v1,out_v2,out_v3
H000001-YBHXYV,-65823,-65823,-65823
H000002-1U9LHN,1055706,1055706,1055706
H000003-4MGF1E,0,0,0
H000004-U6O7EX,-223102,-223102,-223102
H000005-V56CP1,8818,8818,8818
H000006-IBEPVM,481475,481475,481475
H000007-B90R6I,7988,7988,7988
H000008-ML5FN9,-770468,-770468,-770468
H000009-T2DY54,1387039,1387039,1387039
H000010-UDWKUX,6742,6742,6742
H000011-YY72TR,-111305,-111305,-111305
H000012-Z7PW98,3988649,3988649,3988649
H000013-AM18NI,1843687,1843687,1843687
H000014-ZHFUTP,-16674,-16674,-16674
H000015-3SCUHT,-336311,-336311,-336311
H000016-J6H0P8,-231069,-231069,-231069
H000017-0T4XY5,2172602,2172602,2172602
H000018-JS0LA7,-707917,-707917,-707917
H000019-9Z66CY,-165433,-165433,-165433
H000020-9EPVF0,17964,17964,17964
H000021-ZI2UYZ,2748622,2748622,2748622
H000022-974OY6,-377224,-377224,-377224
H000023-J1Y1C1,575337,575337,575337
H000024-PAEWC3,0,0,0
H000025-OY65GM,5769539,5769539,5769539
H000026-NCPE8D,2808214,2808214,2808214
H000027-NLMGO5,-344236,-344236,-344236
H000028-AMOUKH,28653,28653,28653
H000029-DLH00J,1300587,1300587,1300587
H000030-QR3IFG,-435363,-435363,-435363
H000031-6YAP08,2416717,2416717,2416717
H000032-THWVB0,354,354,354
H000033-5NU5NY,2884918,2884918,2884918
H000034-JQ4D1H,0,0,0
H000035-XSLSK3,2714527,2714527,2714527
H000036-M2L986,11997,11997,11997
H000037-5EQQ7Q,-326594,-326594,-326594
H000038-EQMK1M,1901311,1901311,1901311
H000039-VKM3JV,-86068,-86068,-86068
H000040-E65PV4,1165511,1165511,1165511
H000041-1I89W8,0,0,0
H000042-UB30K1,1624541,1624541,1624541
H000043-PARA8J,-1616411,-1616411,-1616411
H000044-ZSJGEZ,0,0,0
H000045-3Y9YKD,361758,361758,361758
H000046-HUIM7I,0,0,0
H000047-C8D1CS,4238221,4238221,4238221
H000048-6TVQPO,-260024,-260024,-260024
H000049-RZGP4X,4226500,4226500,4226500
H000050-LB818R,6578100,6578100,6578100
H000051-28IWJ3,-1977806,-1974905,-1656561
H000052-J7F70V,5989382,5989382,5989382
H000053-30A8HF,-501574,-501574,-501574
H000054-PBLX8U,66050,66050,66050
H000055-QHF2KC,4012,4012,4012
H000056-LD06HH,2972,2972,2972
H000057-4LI60D,3939421,3939421,3939421
H000058-QYXYFU,3978985,3978985,3978985
H000059-7E1IV4,4593181,4593181,4593181
H000060-97AXKR,46440,46440,46440
H000061-2TK2M3,4086521,4086521,4086521
H000062-OX3OMF,-407948,-407948,-407948
H000063-0FGMQF,7495805,7495805,7495805
H000064-3BWY4K,-75302,-75302,-75302
H000065-36Q2OT,1966003,1966003,1966003
H000066-L0I9LU,-346943,-346943,-346943
H000067-BECRP0,0,0,0
H000068-F98W22,-269043,-269043,-269043
H000069-A4YM56,-650332,-650332,-650332
H000070-81D1SY,2113232,2113232,2113232
H000071-JJ8OIS,421445,421445,421445
H000072-O13F02,-426669,-426669,-426669
H000073-8ZY82S,-489229,-489229,-489229
H000074-4PU8S7,2772221,2772221,2772221
H000075-SREBH2,7482958,7482958,7482958
H000076-81IY5P,1969100,1969100,1969100
H000077-0E2AXY,2734963,2734963,2734963
H000078-0NH32G,6983141,6983141,6983141
H000079-K14HHD,6893458,6893458,6893458
H000080-2FNT2V,628,628,628
H000081-KTQRO4,16937480,16937480,16937480
H000082-VIDX4N,-872530,-872530,-872530
H000083-K11YMF,2320462,2320462,2320462
H000084-MRE3G7,-281308,-281308,-281308
H000085-E94MEG,-102230,-102230,-102230
H000086-8V5U50,0,0,0
H000087-VF2JSB,882132,882132,882132
H000088-97ZH8H,4012,4012,4012
H000089-PPBGR8,-40649,-40649,-40649
H000090-TQ53E5,6553,6553,6553
H000091-NRCV9K,11515,11515,11515
H000092-V4WB1G,7655267,7655267,7655267
H000093-44BIOF,-833355,-833355,-833355
H000094-9MM8A1,-1358761,-1358761,-1358761
H000095-B3M1AU,5296485,5296485,5296485
H000096-KSZQSD,-1656788,-1656788,-1656788
H000097-7XNWP7,3997,3997,3997
H000098-YDJ3D7,0,0,0
H000099-R67EKG,0,0,0
H000100-7SIBG4,2961078,2961078,2961078
H000101-W5ZUZC,-236656,-236656,-236656
H000102-NQZNRY,0,0,0
H000103-ACNP42,0,0,0
H000104-1YGP85,0,0,0
H000105-KCG6F5,1195923,1195923,1195923
H000106-2OFIIA,3116564,3116564,3116564
H000107-2538DF,283979,283979,283979
H000108-HIPI4L,5051260,5051260,5051260
H000109-C6VLZW,1727563,1727563,1727563
H000110-HQA8Z1,-1444314,-1444314,-1444314
H000111-EU3TG8,-33089,-33089,-33089
H000112-GACMYH,2008924,2008924,2008924
H000113-JPFMHU,1630942,1630942,1630942
H000114-5FBW7V,88773,88773,88773
H000115-UW4FR3,-108724,-108724,-108724
H000116-8PLSG9,0,0,0
H000117-BQM3FL,-4393,-4393,-4393
H000118-NOO1OO,2847379,2847379,2847379
H000119-RJFUBB,-4009744,-4009744,-4009744
H000120-KUD2O2,3106723,3106723,3106723
H000121-CKCK6D,5952289,5952289,5952289
H000122-IRROKP,12498,12498,12498
H000123-X5YB2J,1001779,1001779,1001779
H000124-29F19D,451686,451686,451686
H000125-8GNL0W,-493868,-493868,-493868
H000126-XBZ7BG,3502307,3502307,3502307
H000127-7CNW94,0,0,0
H000128-U0KF3A,1076403,1076403,1076403
H000129-RTFQT2,4017,4017,4017
H000130-PHMP26,1576188,1576188,1576188
H000131-POPGRW,-1654241,-1654241,-1654241
H000132-JXNFWP,0,0,0
H000133-TYPI0M,1869,1869,1869
H000134-Y73QRW,-170935,-170935,-170935
H000135-51L1T4,1312878,1312878,1312878
H000136-00RO9A,1518019,1518019,1518019
H000137-9HE78E,-50308,-50308,-50308
H000138-C9ST0E,3769408,3769408,3769408
H000139-6CXWRJ,3061401,2935417,3061401
H000140-BA36ZX,4953214,4953214,4953214
H000141-QG8ZUT,699345,699345,699345
H000142-4NDB0I,5046882,5046882,5046882
H000143-UMNOWM,2323312,2323312,2323312
H000144-IEWGSY,3626956,3626956,3626956
H000145-F01GGE,5988,5988,5988
H000146-940OC9,-257628,-257628,-257628
H000147-9CXTP8,0,0,0
H000148-XZ6371,4305429,4305429,4305429
H000149-F1TIYN,-1214159,-1214159,-1214159
H000150-GWZY4J,0,0,0
H000151-RMBJUJ,3921155,3921155,3921155
H000152-JKUN5I,1012862,1012862,1012862
H000153-Y24EP6,4856871,4959273,5391965
H000154-NSGOZT,0,0,0
H000155-O673V5,2070775,2070775,2070775
H000156-CMY80N,5908,5908,5908
H000157-B0LF3S,14751431,14751431,14751431
H000158-G9102T,-149001,-149001,-149001
H000159-D6J9XQ,1731843,1731843,1731843
H000160-DKPRLN,1776571,1776571,1776571
H000161-9A5G54,-87577,-87577,-87577
H000162-PJ315H,-416188,-416188,-416188
H000163-ILDCFO,3813,3813,3813
H000164-GUR7DZ,-981308,-981308,-981308
H000165-5097ZB,9327393,9327393,9327393
H000166-ENOGRB,528773,528773,528773
H000167-I32NVM,-712888,-712888,-712888
H000168-I0FWGO,289758,289758,289758
H000169-6TM2BV,2254665,2254665,2254665
H000170-SAJPDZ,0,0,0
H000171-DJG9UR,1335360,1335360,1335360
H000172-IM4B8F,8001,8001,8001
H000173-8EDZMF,2335772,2335772,2335772
H000174-0R7LAI,-168414,-168414,-152616
H000175-7SL6W6,4757366,4757366,4757366
H000176-7U1N8E,2514034,2514034,2514034
H000177-72IGW2,4012,4012,4012
H000178-QFK1VX,-151121,-151121,-151121
H000179-DD5WJ4,3058869,3058869,3058869
H000180-PL9YWT,-236279,-236279,-236279
H000181-VC5PTC,1023409,1023409,1023409
H000182-4GYLHV,0,0,0
H000183-LNCYA8,4376897,4376897,4376897
H000184-DI10IB,3660940,3660940,3660940
H000185-OTFY3T,6774626,6774626,6774626
H000186-496Q39,684839,684839,684839
H000187-RGK28W,0,0,0
H000188-NKWBDR,-4116,-4116,-4116
H000189-3TNLCO,-62907,-62907,-62907
H000190-1V2LWW,1072663,1072663,1133037
H000191-7WR4AE,0,0,0
H000192-CAGF9H,-66290,-66290,-66290
H000193-LYXTRS,-25958,-25958,-25958
H000194-HQ9764,-597984,-597984,-597984
H000195-TZ3LL1,4650302,4650302,4650302
H000196-K2OY4A,0,0,0
H000197-NM9H4G,0,0,0
H000198-ZHP74H,0,0,0
H000199-B7UHDE,3294,3294,3294
H000200-ZLE35Q,68515,68515,68515
H000201-BFKB0N,5767879,5767879,5767879
H000202-YTVAPJ,-560390,-560390,-560390
H000203-UZEDEL,0,0,0
H000204-N3D6QP,7094,7094,7094
H000205-5B9JVP,8457911,8457911,8457911
H000206-KIMMDQ,5465821,5465821,5465821
H000207-TL596G,0,0,0
H000208-UM6ZJ5,4475250,4475250,4475250
H000209-489163,1904816,1904816,1904816
H000210-917CZN,-332577,-332577,-332577
H000211-63U8GY,841760,841760,841760
H000212-PCPD53,285125,285125,285125
H000213-IWJXGN,397352,397352,397352
H000214-DLRMK3,2904546,2904546,2904546
H000215-FXVI2A,11981,11981,11981
H000216-KZ3OA3,8126,8126,8126
H000217-P1VXKO,947692,947692,947692
H000218-PAZ1ET,163,163,163
H000219-5MK181,-65326,-65326,-65326
H000220-8KB05Z,0,0,0
H000221-XDNCSV,0,0,0
H000222-3OU750,19356,19356,19356
H000223-HQ2KXN,113167,113167,83249
H000224-Y4MHHZ,-55831,-55831,-55831
H000225-9DN09E,-3408522,-3408522,-3408522
H000226-HE2LCN,3993,3993,3993
H000227-X6J6GJ,417976,417976,417976
H000228-VNKB9F,4002957,4201214,4002957
H000229-VUKXE0,1807,1807,1807
H000230-6QCPVL,6451,6451,6451
H000231-7DKED3,5105815,5105815,5105815
H000232-1YYLFD,1052272,1052272,1052272
H000233-4UPHE2,1425481,1425481,1425481
H000234-BAGSPC,-904063,-904063,-904063
H000235-X7JRTW,13354,13354,13354
H000236-EVWZR3,-514620,-514620,-514620
H000237-I1A46J,8010,8010,8010
H000238-ECPZXN,8112,8112,8112
H000239-HZK9VQ,810028,810028,810028
H000240-CRMPQV,4003,4003,4003
H000241-I0634G,5032,5032,5032
H000242-2J4TZ2,2975201,2975201,2975201
H000243-XSK3WX,0,0,0
H000244-0Q7Y7G,3248526,3248526,3248526
H000245-F7TS0V,1145780,1145780,1145780
H000246-NPVNKU,685618,685618,666991
H000247-DEXU49,-1837290,-1837290,-1837290
H000248-XX07SJ,13776,13776,13776
H000249-VLY298,3470258,3470258,3470258
H000250-ZTFOYK,-182055,-182055,-182055
H000251-MQ0AIM,0,0,0
H000252-6G689V,84250,84250,84250
H000253-2HHYXP,2760636,2760636,2760636
H000254-36SEM6,2988698,2988698,2988698
H000255-E5UHZ6,0,0,0
H000256-GSHCXE,-130313,-130313,-130313
H000257-YEOOO7,0,0,0
H000258-RYVMSW,2182792,2182792,2200621
H000259-PG41MG,404804,404804,404804
H000260-OSF6MJ,648193,648193,648193
H000261-M1EXGG,4695559,4695559,4092463
H000262-Y73V7L,11992,11992,11992
H000263-C4MPZK,7415322,7415322,7415322
H000264-9QP0HD,8003,8003,8003
H000265-5UULCE,-860930,-860930,-860930
H000266-KDUVE0,-368507,-368507,-368507
H000267-X8MIY0,-600256,-600256,-600256
H000268-GCDUVC,-166669,-166669,-166669
H000269-24KFYC,4883780,4883780,4883780
H000270-S94FCD,-95732,-95732,-95732
H000271-C6K5DY,39305,39305,39305
H000272-3OJD84,4158,4158,4158
H000273-EMIT1K,0,0,0
H000274-ZPFFD7,-1274236,-1274236,-1274236
H000275-1QYD8K,7549278,7549278,7549278
H000276-B2LNE6,-860481,-860481,-860481
H000277-UO8ELE,9513463,9513463,9513463
H000278-P0JF1N,2117490,2117490,2117490
H000279-H04C82,3328,3328,3328
H000280-Q2A28X,-367682,-367682,-367682
H000281-8UUQ9L,25065536,25065536,25065536
H000282-HOPN80,1214287,1214287,1214287
H000283-D60C22,-39113,-39113,-39113
H000284-C8N6YZ,-627513,-627513,-627513
H000285-TZXRPV,6710,6710,6710
H000286-COCZQ1,4415379,4415379,4415379
H000287-MGVYKH,8006,8006,8006
H000288-6NRUIB,1714145,1714145,1714145
H000289-0U5FU7,7563,7563,7563
H000290-YPY3PN,-305498,-305498,-305498
H000291-C42YJC,0,0,0
H000292-5B9JYQ,288809,288809,288809
H000293-HUPA6C,908307,908307,908307
H000294-V90GFN,2225699,2225699,2225699
H000295-5VGEGS,2540534,2540534,2540534
H000296-DRYCBZ,0,0,0
H000297-CA85G2,2769113,2769113,2769113
H000298-G32YB4,0,0,0
H000299-06ZLCH,-304552,-304552,-304552
H000300-M5BRXJ,1563115,1563115,1563115
H000301-O4J137,-115403,-115403,-115403
H000302-IOMXDJ,-622781,-622781,-673921
H000303-6B5UBD,408608,408608,408608
H000304-HGJ8XH,2030687,2030687,2030687
H000305-GPYW8M,0,0,0
H000306-RNSI1W,-509141,-509141,-509141
H000307-MAUJX9,11986,11986,11986
H000308-IKFR9V,211761,211761,211761
H000309-9VJCOK,-137620,-137620,-137620
H000310-0PLXN8,2058245,2058245,2150284
H000311-3MIRXG,7174668,7174668,7174668
H000312-9H96IY,-66805,-66805,-66805
H000313-CKUBL3,-21286,-21286,-21286
H000314-T6HTNK,-810239,-810239,-810239
H000315-MN5FCW,531947,531947,531947
H000316-HYF2EI,7993,7993,7993
H000317-A1T1L2,-147549,-147549,-161577
H000318-S4I8J6,43667,43667,43667
H000319-J2K0X7,239988,239988,239988
H000320-7WKPQ7,-198749,-198749,-198749
H000321-NFG8QQ,613,613,613
H000322-N5F367,6011874,6011874,6011874
H000323-0HN8VE,10220858,10220858,10220858
H000324-CQ00CK,356492,356492,356492
H000325-85GQ2G,-144847,-144847,-144847
H000326-QWG8YY,-811764,-811764,-811764
H000327-OCLFE8,0,0,0
H000328-QYP0DO,34076,34076,34076
H000329-DQZ5UH,3489588,3489588,3489588
H000330-U1DQ4Y,1442416,1442416,1442416
H000331-9EYW3W,2623130,2623130,2623130
H000332-GYBEL0,414178,414178,414178
H000333-88BPSQ,2910547,2910547,2910547
H000334-O1W1JB,6009116,6009116,6009116
H000335-83CFWX,4005,4005,4005
H000336-8ZQXGZ,2755465,2755465,2755465
H000337-0ASJEX,2097174,2097174,2097174
H000338-DG1PH1,5549395,5549395,5549395
H000339-VCOTQO,1180064,1180064,1180064
H000340-W0ELJP,5068731,5068731,5068731
H000341-Y1DE1K,4109735,4109735,4109735
H000342-CQC8UA,2929632,2929632,2929632
H000343-5OC6P8,3945662,3945662,3945662
H000344-WXVXF3,900769,900769,900769
H000345-KUIRT7,242394,242394,242394
H000346-EAUBF7,0,0,0
H000347-2DMJTI,2910702,2910702,2910702
H000348-T6T54I,1219363,1219363,1219363
H000349-G2V34I,-382074,-382074,-382074
H000350-D1SORQ,3290983,3290983,3290983
H000351-V3PS73,535143,535143,535143
H000352-92F8SE,2294,2294,2294
H000353-4CRWXP,10,10,10
H000354-2RJG3R,0,0,0
H000355-KLKSS7,6248310,6248310,6248310
H000356-8ERU2D,0,0,0
H000357-J9VNX1,-884684,-884684,-884684
H000358-5MMZW8,2193069,2193069,2193069
H000359-S3DVP4,-106367,-106367,-106367
H000360-VXUU3L,-520556,-520556,-520556
H000361-A9XTSB,28674,28674,28674
H000362-89NB8X,15078,15078,15078
H000363-97FENY,7824746,7824746,7824746
H000364-44A8GL,1595,1595,1595
H000365-MJXXTR,-638276,-638276,-638276
H000366-9JPTR5,3760725,3760725,3760725
H000367-GTR4YZ,7989,7989,7989
H000368-4Y8PQW,6123905,6123905,6101451
H000369-JRRTT1,0,0,0
H000370-H9JWU1,582197,582197,582197
H000371-W5OG5N,-100033,-100033,-100033
H000372-MU485W,0,0,0
H000373-590YJA,-192581,-192581,-192581
H000374-6KU086,-997006,-997006,-997006
H000375-C2QPL8,8454393,8454393,8454393
H000376-S9KFSL,4963819,4963819,4963819
H000377-6ZXKJU,-779010,-779010,-779010
H000378-00ZVVY,1408154,1408154,1408154
H000379-Z3IH2Z,1089723,1089723,1089723
H000380-BD7P8T,591613,591613,591613
H000381-1USCAE,13705,13705,13705
H000382-XLWCQM,2806714,2806714,2684058
H000383-MXU4BP,3065884,3065884,3065884
H000384-00IQV9,2482,2482,2482
H000385-WL7NUC,322035,322035,322035
H000386-5DH2OO,15831,15831,15831
H000387-CX5MFS,1669023,1669023,1669023
H000388-6QBR9K,10768,10768,10768
H000389-0QJ4C0,0,0,0
H000390-9SCKR5,5847926,5847926,5847926
H000391-FM0BGU,8013,8013,8013
H000392-HVPQQR,2147711,2147711,1998787
H000393-50RG0H,1928760,1928760,1928760
H000394-3980V3,-1975397,-1975397,-1975397
H000395-K8KBQ2,-433941,-433941,-433941
H000396-6GSVNP,3207761,3207761,3207761
H000397-RIR7ZF,267927,267927,267927
H000398-ZG9GEM,-1076024,-1076024,-1076024
H000399-GQ4KYW,2468,2468,2468
H000400-UH9FU7,-707368,-707368,-707368
H000401-HHPJTC,-1912279,-1912279,-1912279
H000402-8T2BSP,0,0,0
H000403-NFAV02,-760528,-760528,-760528
H000404-Y4T3PU,23320,23320,23320
H000405-OEY8P0,-573440,-573440,-573440
H000406-2UP9HT,2787,2787,2787
H000407-1BZ74R,1172421,1172421,1172421
H000408-3M8X0P,902246,902246,902246
H000409-6FW2T6,27538,27538,27538
